iata,icao,total_delegates_GDP,country_code,airport,latitude,longitude,distance_to_baku,existing_flight,closest,second_c,third_c,fourth_c,fifth_c,sixth_c,seventh_c,eigth_c,nineth_c,tenth_c,to_baku
GRU,SBGR,3643,BR,Sao Paulo/Guarulhos International Airport,-23.4262,-46.48,12193.41526,FALSE,LEMG,KORD,DAAG,EINN,EGLL,EGGW,LIMC,EGSS,LIME,ELLX,UBBB
LOS,DNMM,1549,NG,Murtala Muhammed International Airport,6.57737,3.32116,5965.028837,FALSE,DAAG,LEMG,LGAV,OEJN,LIMC,LTBS,LIME,LTBJ,LLBG,LTAI,UBBB
CGK,WIII,1615,ID,Soekarno–Hatta International Airport,-6.12556,106.656,7741.302075,FALSE,WSSS,VVTS,VVNB,VHHH,VGHS,ZSPD,ZHCC,VABB,VIDP,ZBAA,UBBB
HND,RJTT,2306,JP,Haneda Airport,35.5533,139.781,7540.066371,FALSE,RJAA,RJBB,RKSI,ZSPD,ZBAA,ZHCC,VHHH,VVNB,VVTS,WSSS,UBBB
RBA,GMME,861,MA,Rabat-Sale Airport,34.0515,-6.75152,5001.845892,FALSE,LEMG,DAAG,EGLL,EINN,EGGW,EGSS,LIMC,LIME,EBBR,ELLX,UBBB
CDG,LFPG,1614,FR,Paris Charles de Gaulle Airport,49.0097,2.54778,3813.218423,FALSE,EBBR,EGSS,ELLX,EHEH,EGLL,EHAM,EGGW,EDFH,EDDK,EDDF,UBBB
JFK,KJFK,8220,US,John F. Kennedy International Airport,40.6397,-73.7789,9383.682266,FALSE,KORD,EINN,LEMG,EGLL,EGGW,EGSS,DAAG,EBBR,EHAM,EHEH,UBBB
NBO,HKJK,798,KE,Jomo Kenyatta International Airport,-1.31924,36.9278,4815.384589,FALSE,OEJN,OERK,OTHH,OEDF,OBBI,OMAA,OMDW,OMDB,OKBK,OMSJ,UBBB
DAR,HTDA,785,TZ,Julius Nyerere International Airport,-6.87811,39.2026,5358.73003,FALSE,OEJN,OERK,OTHH,OMAA,OEDF,OBBI,OMDW,OMDB,OMSJ,OKBK,UBBB
YOW,CYOW,1368,CA,Ottawa Macdonald-Cartier International Airport,45.3225,-75.6692,9076.534681,FALSE,KORD,EINN,LEMG,EGLL,EGGW,EGSS,DAAG,EBBR,EHAM,EHEH,UBBB
KUL,WMKK,819,MY,Kuala Lumpur International Airport,2.74558,101.71,6649.756799,FALSE,WSSS,VVTS,VVNB,VHHH,VGHS,VABB,ZHCC,ZSPD,VIDP,ZBAA,UBBB
ACC,DGAA,640,GH,Kotoka International Airport,5.60519,-0.166786,6310.70612,FALSE,DAAG,LEMG,LGAV,LIMC,LIME,OEJN,LTBS,LTBJ,LDZA,LLBG,UBBB
EBB,HUEN,619,UG,Entebbe International Airport,0.042386,32.4435,4818.635066,FALSE,OEJN,OERK,OEDF,OTHH,OBBI,LLBG,OMAA,OKBK,OMDW,OMDB,UBBB
FIH,FZAA,609,CD,N'djili Airport,-4.38575,15.4446,6092.616788,FALSE,OEJN,LLBG,DAAG,OERK,LGAV,LTBS,LCLK,LTFG,LTAI,LTBJ,UBBB
CAI,HECA,705,EG,Cairo International Airport,30.1219,31.4056,2040.673884,FALSE,LLBG,LCLK,LTFG,LTAI,LTBS,LTAF,LTBJ,LTAU,LTAC,LGAV,UBBB
DKR,GOOY,568,SN,Leopold Sedar Senghor International Airport,14.7397,-17.4902,7067.514688,FALSE,LEMG,DAAG,EINN,EGLL,LIMC,EGGW,EGSS,LIME,ELLX,EBBR,UBBB
NDJ,FTTJ,558,TD,N'Djamena International Airport,12.1337,15.034,4643.885165,FALSE,OEJN,DAAG,LGAV,LLBG,LTBS,LTBJ,LTAI,LCLK,LTFG,LEMG,UBBB
FCO,LIRF,1133,IT,Rome–Fiumicino International Airport,41.8003,12.2389,3152.269441,FALSE,LIME,LIMC,LDZA,EDDM,LZIB,LYBE,LHBP,EDDF,EDFH,EDDP,UBBB
BER,EDDB,1664,DE,Berlin Brandenburg Airport,52.3514,13.4939,3062.670836,FALSE,EDDP,EDDM,EDDF,LZIB,EDDK,EDFH,LDZA,LHBP,LIME,ELLX,UBBB
LUN,FLLS,454,ZM,Kenneth Kaunda International Airport,-15.3308,28.4526,6568.630522,FALSE,OEJN,OERK,OTHH,OEDF,OBBI,OMAA,LLBG,OMDW,OKBK,OMDB,UBBB
AMM,OJAI,458,JO,Queen Alia International Airport,31.7226,35.9932,1591.355219,FALSE,LLBG,LCLK,LTAF,LTFG,LTAU,LTAI,LTBS,LTAC,ORER,OEJN,UBBB
BGW,ORBI,519,IQ,Baghdad International Airport,33.2625,44.2346,952.3031351,FALSE,ORER,OKBK,UGTB,OERK,OEDF,UBBB,LLBG,OBBI,LTAF,LTAU,UBBB
JNB,FAOR,529,ZA,O. R. Tambo International Airport,-26.1392,28.246,7711.493006,FALSE,OEJN,OERK,OTHH,OEDF,OBBI,OMAA,OMDW,OMDB,OMSJ,LLBG,UBBB
SYD,YSSY,900,AU,Sydney Airport (Kingsford Smith Airport),-33.9461,151.177,13218.36079,FALSE,WSSS,VVTS,VHHH,RJBB,RJAA,ZSPD,VVNB,RKSI,ZHCC,ZBAA,UBBB
NQZ,UACC,469,KZ,Nursultan Nazarbayev International Airport,51.0222,71.4669,2026.148485,FALSE,UCFM,USTR,UAAA,UNNT,USSS,UTSB,UWUU,USPP,OPSR,UWWW,UBBB
ABJ,DIAP,422,CI,Port Bouet Airport (Felix Houphouet Boigny Int'l),5.26139,-3.92629,6632.468782,FALSE,LEMG,DAAG,LIMC,LIME,LGAV,LDZA,LTBJ,LTBS,ELLX,EDDM,UBBB
MCT,OOMS,414,OM,Muscat International Airport,23.5933,58.2844,2024.111713,FALSE,OMSJ,OMDB,OMDW,OMAA,OTHH,OBBI,OEDF,OERK,OKBK,VABB,UBBB
BOG,SKBO,479,CO,El Dorado International Airport,4.70159,-74.1469,12453.99325,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,ELLX,EHAM,UBBB
MGQ,HCMM,369,SO,Aden Adde International Airport,2.01444,45.3047,4285.47788,FALSE,OEJN,OERK,OTHH,OMAA,OBBI,OEDF,OMDW,OMDB,OMSJ,OKBK,UBBB
MNL,RPLL,460,PH,Ninoy Aquino International Airport / Villamor Air Base,14.5086,121.02,7374.573488,FALSE,VHHH,VVTS,VVNB,ZSPD,ZHCC,WSSS,RKSI,RJBB,ZBAA,RJAA,UBBB
HRE,FVHA,345,ZW,Robert Gabriel Mugabe International Airport,-17.9318,31.0928,6756.557936,FALSE,OEJN,OERK,OTHH,OEDF,OBBI,OMAA,OMDW,OMDB,OMSJ,LLBG,UBBB
LLW,FWKI,309,MW,Lilongwe International Airport (Kamuzu Int'l),-13.7894,33.781,6237.352198,FALSE,OEJN,OERK,OTHH,OEDF,OBBI,OMAA,OMDW,OMDB,OMSJ,OKBK,UBBB
SCL,SCEL,389,CL,Comodoro Arturo Merino Benitez International Airport,-33.393,-70.7858,14791.50321,FALSE,KORD,LEMG,DAAG,EINN,EGLL,EGGW,EGSS,LIMC,LIME,EBBR,UBBB
SCL,SCEL,389,CL,Arturo Merino Benítez International Airport,-33.3928,-70.7856,14791.47667,FALSE,KORD,LEMG,DAAG,EINN,EGLL,EGGW,EGSS,LIMC,LIME,EBBR,UBBB
TAS,UTTT,322,UZ,Tashkent International Airport,41.2579,69.2812,1620.709863,FALSE,UTSB,UCFM,UAAA,OPSR,VIDP,USTR,USSS,UWUU,UNNT,UBBB,UBBB
COO,DBBB,302,BJ,Cadjehoun Airport,6.35723,2.38435,6054.241645,FALSE,DAAG,LEMG,LGAV,LIMC,OEJN,LIME,LTBS,LTBJ,LLBG,LDZA,UBBB
BKK,VTBS,438,TH,Suvarnabhumi Airport,13.6811,100.747,5735.625452,FALSE,VVTS,VVNB,WSSS,VGHS,VHHH,ZHCC,ZSPD,VIDP,VABB,ZBAA,UBBB
LAD,FNLU,321,AO,Quatro de Fevereiro Airport,-8.85837,13.2312,6641.783414,FALSE,OEJN,LLBG,DAAG,OERK,LGAV,LTBS,LCLK,LEMG,LTFG,LTAI,UBBB
NKC,GQNO,288,MR,Nouakchott-Oumtounsy International Airport,18.31,-15.9697,6698.552715,FALSE,LEMG,DAAG,EINN,EGLL,LIMC,EGGW,EGSS,LIME,ELLX,EBBR,UBBB
BZV,FCBB,289,CG,Maya-Maya Airport,-4.2517,15.253,6091.364505,FALSE,OEJN,LLBG,DAAG,OERK,LGAV,LTBS,LCLK,LTFG,LTAI,LTBJ,UBBB
BZV,FCBB,289,CG,Maya–Maya Airport,-4.25167,15.2531,6091.355783,FALSE,OEJN,LLBG,DAAG,OERK,LGAV,LTBS,LCLK,LTFG,LTAI,LTBJ,UBBB
ADD,HAAB,312,ET,Addis Ababa Bole International Airport,8.97778,38.7994,3662.082735,FALSE,OEJN,OERK,OEDF,OTHH,OBBI,OMAA,OKBK,OMDW,OMDB,LLBG,UBBB
ADD,HAAB,312,ET,Bole International Airport,8.97789,38.7993,3662.074043,FALSE,OEJN,OERK,OEDF,OTHH,OBBI,OMAA,OKBK,OMDW,OMDB,LLBG,UBBB
CPH,EKCH,388,DK,Copenhagen Airport,55.6179,12.656,3200.504365,FALSE,EDDP,ENGM,EDDF,EDDK,EDDM,EDFH,EHEH,EHAM,LZIB,ELLX,UBBB
ARN,ESSA,427,SE,Stockholm Arlanda Airport,59.6519,17.9186,3082.571466,FALSE,EVRA,ENGM,EFHK,EDDP,LZIB,UMMS,LHBP,ULLI,EDDM,EDDF,UBBB
